# dataset=strongs/glosses; lang=por; source=strongs_gloss(lexicon)+llm_strongs_glosses(llm); license=see resources/strongs/README.md; date=2026-06-20
strong	lemma	gloss	methods	sources
H0001	אָב	pai	lexicon	ubs-dict
H0003	אֵב	flor	lexicon	ubs-dict
H0005	אֲבַגְתָא	Abagta	lexicon	ubs-dict
H0006	אָבַד	estar perdido	lexicon	ubs-dict
H0008	אֹבֵד	destruição	lexicon	ubs-dict
H0009	אֲבֵדָה	coisa perdida	lexicon	ubs-dict
H0010		Abadom	lexicon	ubs-dict
H0012	אַבְדָן	destruição	lexicon	ubs-dict
H0013	אׇבְדַן	destruição	lexicon	ubs-dict
H0014	אָבָה	ter disposição para	lexicon	ubs-dict
H0015	אָבֶה	tomara!	lexicon	ubs-dict
H0016	אֵבֶה	junco	lexicon	ubs-dict
H0017	אֲבוֹי	Ai!	lexicon	ubs-dict
H0018	אֵבוּס	cocho	lexicon	ubs-dict
H0019	אִבְחָה	reluzente	lexicon	ubs-dict
H0020	אֲבַטִּיחַ	melancia	lexicon	ubs-dict
H0021	אֲבִי	Abi	lexicon	ubs-dict
H0022	אֲבִיאֵל	Abiel	lexicon	ubs-dict
H0023	אֲבִיאָסָף	Abiasafe	lexicon	ubs-dict
H0024	אָבִיב	espiga	lexicon	ubs-dict
H0026	אֲבִיגַיִל	Abigail	lexicon	ubs-dict
H0027	אֲבִידָן	Abidã	lexicon	ubs-dict
H0028	אֲבִידָע	Abida	lexicon	ubs-dict
H0029	אֲבִיָּה	Abias	lexicon	ubs-dict
H0030	אֲבִיהוּא	Abiú	lexicon	ubs-dict
H0031	אֲבִיהוּד	Abiúde	lexicon	ubs-dict
H0032	אֲבִיהַיִל	Abiail	lexicon	ubs-dict
H0033	אֲבִי הָעֶזְרִי	abiezrita	lexicon	ubs-dict
H0034	אֶבְיוֹן	pobre	lexicon	ubs-dict
H0035	אֲבִיּוֹנָה	alcaparra	lexicon	ubs-dict
H0036	אֲבִיטוּב	Abitube	lexicon	ubs-dict
H0037	אֲבִיטָל	Abital	lexicon	ubs-dict
H0038	אֲבִיָּם	Abiam	lexicon	ubs-dict
H0039	אֲבִימָאֵל	Abimael	lexicon	ubs-dict
H0040	אֲבִימֶלֶךְ	Abimeleque	lexicon	ubs-dict
H0041	אֲבִינָדָב	Abinadabe	lexicon	ubs-dict
H0042	אֲבִינֹעַם	Abinoão	lexicon	ubs-dict
H0043	אֶבְיָסָף	Ebiasafe	lexicon	ubs-dict
H0044	אֲבִיעֶזֶר	Abiezer	lexicon	ubs-dict
H0045	אֲבִי־עַלְבוֹן	Abi-Albom	lexicon	ubs-dict
H0046	אָבִיר	o Poderoso	lexicon	ubs-dict
H0047	אַבִּיר	touro	lexicon	ubs-dict
H0048	אֲבִירָם	Abirão	lexicon	ubs-dict
H0049	אֲבִישַׁג	Abisague	lexicon	ubs-dict
H0050	אֲבִישׁוּעַ	Abisua	lexicon	ubs-dict
H0051	אֲבִישׁוּר	Abisur	lexicon	ubs-dict
H0052	אֲבִישַׁי	Abisai	lexicon	ubs-dict
H0053	אֲבִישָׁלוֹם	Absalão	lexicon	ubs-dict
H0054	אֶבְיָתָר	Abiatar	lexicon	ubs-dict
H0055	אָבַךְ	subir remoinhando	lexicon	ubs-dict
H0056	אָבַל	lamentar	lexicon	ubs-dict
H0057	אָבֵל	estar de luto	lexicon	ubs-dict
H0059	אָבֵל	lamentação	lexicon	ubs-dict
H0061	אֲבָל	mas	lexicon	ubs-dict
H0062	אָבֵל בֵּית־מֲעַכָה	Abel-Bete-Maacá	lexicon	ubs-dict
H0063	אָבֵל הַשִּׁטִּים	Abel-Sitim	lexicon	ubs-dict
H0064	אָבֵל כְּרָמִים	Abel-Queramim	lexicon	ubs-dict
H0065	אָבֵל מְחוֹלָה	Abel-Meolá	lexicon	ubs-dict
H0066	אַבֵל מַיִם	Abel-Maim	lexicon	ubs-dict
H0067	אָבֵל מִצְרַיִם	Abel-Mizraim	lexicon	ubs-dict
H0068	אֶבֶן	Pedra de Zoelete	lexicon	ubs-dict
H0070	אֹבֶן	roda de oleiro	lexicon	ubs-dict
H0071	אֲבָנָה	Abana	lexicon	ubs-dict
H0072	אֶבֶן הָעֵזֶר	Ebenézer	lexicon	ubs-dict
H0073	אַבְנֵט	faixa de cintura	lexicon	ubs-dict
H0074	אַבְנֵר	Abner	lexicon	ubs-dict
H0075	אָבַס	(animal) cevado	lexicon	ubs-dict
H0076	אֲבַעְבֻּעָה	úlcera	lexicon	ubs-dict
H0077	אֶבֶץ	Ebes	lexicon	ubs-dict
H0078	אִבְצָן	Ibsã	lexicon	ubs-dict
H0079	אָבַק	lutar	lexicon	ubs-dict
H0080	אָבָק	pó	lexicon	ubs-dict
H0081	אֲבָקָה	pós aromáticos	lexicon	ubs-dict
H0082	אָבַר	voar	lexicon	ubs-dict
H0083	אֵבֶר	asas	lexicon	ubs-dict
H0084	אֶבְרָה	asas, penas	lexicon	ubs-dict
H0085	אַבְרָהָם	Abraão	lexicon	ubs-dict
H0086	אַבְרֵךְ	Inclinem-se!	lexicon	ubs-dict
H0087	אַבְרָם	Abrão	lexicon	ubs-dict
H0088	אֹבֹת	Obote	lexicon	ubs-dict
H0089	אָגֵא	Agé	lexicon	ubs-dict
H0090	אֲגַג	Agague	lexicon	ubs-dict
H0091	אֲגָגִי	agagita	lexicon	ubs-dict
H0092	אֲגֻדָּה	corda	lexicon	ubs-dict
H0093	אֱגוֹז	nogueira	lexicon	ubs-dict
H0094	אָגוּר	Agur	lexicon	ubs-dict
H0095	אֲגוֹרָה	peça de prata	lexicon	ubs-dict
H0096	אֶגֶל	gotas	lexicon	ubs-dict
H0097	אֶגְלַיִם	Eglaim	lexicon	ubs-dict
H0098	אֲגַם	charco	lexicon	ubs-dict
H0099	אָגֵם	abatido	lexicon	ubs-dict
H0100	אַגְמוֹן	junco	lexicon	ubs-dict
H0101	אַגָּן	tigela	lexicon	ubs-dict
H0102	אַגָּף	tropas	lexicon	ubs-dict
H0103	אָגַר	colher	lexicon	ubs-dict
H0105	אֲגַרְטָל	bacia	lexicon	ubs-dict
H0106	אֶגְרֹף	punho	lexicon	ubs-dict
H0107	אִגֶּרֶת	carta	lexicon	ubs-dict
H0108	אֵד	água	lexicon	ubs-dict
H0109	אָדַב	entristecer	lexicon	ubs-dict
H0110	אַדְבְּאֵל	Adbeel	lexicon	ubs-dict
H0111	אֲדַד	Hadade	lexicon	ubs-dict
H0112	אִדּוֹ	Ido	lexicon	ubs-dict
H0113	אָדוֹן	senhor	lexicon	ubs-dict
H0114	אַדּוֹן	Adom	lexicon	ubs-dict
H0115	אֲדוֹרַיִם	Adoraim	lexicon	ubs-dict
H0117	אַדִּיר	poderoso	lexicon	ubs-dict
H0118	אֲדַלְיָא	Adalia	lexicon	ubs-dict
H0119	אָדַם	ser vermelho	lexicon	ubs-dict
H0120	אָדָם	humano	lexicon	ubs-dict
H0122	אָדֹם	vermelho	lexicon	ubs-dict
H0123	אֱדֹם	Edom	lexicon	ubs-dict
H0124	אֹדֶם	rubi	lexicon	ubs-dict
